,id,forma_pago,status
0,TJMDGBBF,tarjeta,pagado
1,DDJYGBJF,transferencia,pagado
2,ZFVYGBI0,transferencia,pagado
3,FOUPGB6H,tarjeta,pagado
4,RPKDGB7X,efectivo,pendiente
5,YCEPGBPD,efectivo,pendiente
6,NJPMGBYT,efectivo,pagado
7,GMJEGBXL,transferencia,pagado
8,ODBUGBBV,tarjeta,pagado
9,GKPOGBDC,transferencia,pagado
10,XJHCGBG4,tarjeta,pagado
11,TWNDGBGV,tarjeta,pagado
12,USDHGBMO,efectivo,pagado
13,ALBVGBAK,efectivo,pagado
14,DUDZGBJA,tarjeta,pagado
15,BQOGGB0F,transferencia,pagado
16,VQXBGB0W,tarjeta,pagado
17,VVWAGBAM,transferencia,pagado
18,TJMOGBTD,tarjeta,pendiente
19,JKFYGBD0,tarjeta,pagado
20,CHPQGB82,transferencia,pendiente
21,HVPNGBAD,efectivo,pagado
22,XFNXGBPT,tarjeta,pagado
23,ICSUGBEA,transferencia,pagado
24,UETRGBCG,tarjeta,pagado
25,SQKIGB0L,efectivo,pagado
26,PHFBGBBS,transferencia,pagado
27,NCKRGB53,efectivo,pagado
28,OXGLGBA9,transferencia,pendiente
29,YFTDGBQY,transferencia,pagado
30,EJHOGBGV,tarjeta,pagado
31,KBGDGBN4,transferencia,pagado
32,ZJBWGBS9,efectivo,pagado
33,UVIMGBZR,transferencia,pagado
34,INLZGBB3,tarjeta,pagado
35,GFXOGBQX,tarjeta,pagado
36,TVLLGBE8,transferencia,pagado
37,ASEJGB98,efectivo,pagado
38,GEEOGBZK,transferencia,pagado
39,GKHTGB0E,transferencia,pendiente
40,BWGEGB0S,transferencia,pagado
41,MSDDGBSP,tarjeta,pagado
42,TSGIGBSY,tarjeta,pagado
43,PDIRGBL3,tarjeta,pagado
44,MNAEGBXY,transferencia,pendiente
45,YWGTGB7M,transferencia,pagado
46,ADKOGBML,efectivo,pagado
47,DDIHGB9T,tarjeta,pagado
48,SMQJGBRE,efectivo,pagado
49,CUGAGBSR,efectivo,pagado
50,URGBGBS2,efectivo,pagado
51,AGLJGBYI,transferencia,pagado
52,YUCJGB1R,transferencia,pendiente
53,WPBJGBBN,efectivo,pagado
54,YLBZGB4F,efectivo,pagado
55,MFSBGB9M,efectivo,pagado
56,UKKLGBQV,transferencia,pagado
57,ARBAGB61,transferencia,pagado
58,BXPGGB8L,transferencia,pagado
59,XLAOGBWR,efectivo,pagado
60,NBSGGBMC,transferencia,pagado
61,ZTPAGBCV,tarjeta,pagado
62,LZLRGBIY,efectivo,pagado
63,KSDYGBH7,tarjeta,pagado
64,ABTSGBN6,efectivo,pagado
65,UXNNGB6K,efectivo,pagado
66,ZPPEGB81,transferencia,pagado
67,ZRNVGBPU,transferencia,pagado
68,PHVCGB0Y,tarjeta,pendiente
69,RFJLGBZ5,efectivo,pagado
70,LIPDGB98,efectivo,pagado
71,LNNPGBS8,efectivo,pagado
72,OPCOGBLW,efectivo,pagado
73,ZLJRGBLK,transferencia,pagado
74,VXDRGBXW,efectivo,pagado
75,LNPAGBUM,efectivo,pagado
76,KMFVGBBS,efectivo,pagado
77,KKMYGB7N,tarjeta,pagado
78,HYAQGBAY,transferencia,pagado
79,TBGJGBCI,transferencia,pendiente
80,ZLNKGBKN,tarjeta,pagado
81,SIIZGB86,tarjeta,pagado
82,DCBJGBKZ,efectivo,pagado
83,SLFJGB40,transferencia,pagado
84,MIWZGB5L,efectivo,pagado
85,PKFRGB4Q,transferencia,pagado
86,KYWJGBJK,transferencia,pagado
87,IQELGB9Y,efectivo,pendiente
88,TJAHGBLF,transferencia,pagado
89,BWERGBC5,efectivo,pagado
90,PWSLGBFR,efectivo,pagado
91,AJPCGBMY,transferencia,pagado
92,XLOUGBZ9,transferencia,pagado
93,AKFTGBYP,transferencia,pagado
94,DXMBGBJV,efectivo,pendiente
95,OVNVGBCJ,efectivo,pendiente
96,UKDZGBBG,efectivo,pagado
97,AWNIGB98,transferencia,pagado
98,HHHFGB1E,tarjeta,pagado
99,KSHUGBXG,efectivo,pagado
100,MODBGBKY,efectivo,pagado
101,CDJZGB19,efectivo,pagado
102,HNNHGBZ2,tarjeta,pagado
103,CWRYGB6N,transferencia,pagado
104,IBKZGBCU,transferencia,pagado
105,POUVGBN2,tarjeta,pagado
106,VMTJGBIE,transferencia,pagado
107,NSIZGBQ8,tarjeta,pendiente
108,UUBLGB2W,tarjeta,pagado
109,RSCGGBO5,transferencia,pagado
110,FSUGGBH6,tarjeta,pagado
111,UIEYGBOX,efectivo,pagado
112,GQFCGBIJ,transferencia,pagado
113,JFVBGB5B,tarjeta,pagado
114,PMENGB70,tarjeta,pagado
115,LWHDGB71,transferencia,pagado
116,AOTFGBDE,efectivo,pagado
117,NIBTGBL2,efectivo,pagado
118,MBGFGBZB,tarjeta,pagado
119,EMUIGBFY,transferencia,pagado
120,SGIDGB1K,tarjeta,pagado
121,AVTTGBEL,tarjeta,pagado
122,UILPGBPH,tarjeta,pagado
123,KWRCGBDE,transferencia,pagado
124,OXXYGBMB,transferencia,pagado
125,VUEOGB8N,transferencia,pagado
126,RWDXGBY5,tarjeta,pagado
127,UJXZGBU9,tarjeta,pendiente
128,HCTAGBMN,tarjeta,pagado
129,JZQLGBGZ,efectivo,pagado
130,TYCWGBKW,tarjeta,pagado
131,LWWRGB0H,tarjeta,pagado
132,BHHLGBS6,efectivo,pagado
133,ZQVZGB8Z,tarjeta,pagado
134,UEYIGBPV,transferencia,pendiente
135,AQYTGBRJ,tarjeta,pagado
136,JOCBGBFZ,efectivo,pagado
137,BGADGB8N,tarjeta,pagado
138,SGGXGBDC,tarjeta,pagado
139,VAQVGBFT,tarjeta,pagado
140,BPRLGBTY,tarjeta,pagado
141,LZZZGBJX,efectivo,pagado
142,JCVNGBJP,tarjeta,pagado
143,WBDQGBW1,tarjeta,pagado
144,TVTJGBEJ,efectivo,pagado
145,DQYZGBHD,transferencia,pagado
146,ALHNGB01,efectivo,pagado
147,EQRPGB2R,efectivo,pagado
148,MNMPGBO9,transferencia,pagado
149,AINZGBES,efectivo,pagado
150,ZLRIGB9L,efectivo,pagado
151,VJSYGBEO,transferencia,pagado
152,OTLXGB4S,transferencia,pagado
153,VKJVGB9K,tarjeta,pagado
154,JLEBGBOZ,tarjeta,pagado
155,QQGCGBC5,tarjeta,pagado
156,VCCAGB9V,efectivo,pagado
157,IBBDGBQH,tarjeta,pagado
158,WOPRGB00,efectivo,pagado
159,ALQOGB92,transferencia,pagado
160,PLJQGBYA,efectivo,pendiente
161,ADGTGB9N,tarjeta,pagado
162,LYBJGBZK,transferencia,pagado
163,HAOYGB6M,transferencia,pagado
164,VQUEGBDR,efectivo,pagado
165,UJLQGBLS,transferencia,pagado
166,RIAGGB96,tarjeta,pagado
167,GDOIGBF4,tarjeta,pendiente
168,BDMWGBAQ,tarjeta,pagado
169,QBERGB8V,efectivo,pendiente
170,WQWYGB6H,tarjeta,pagado
171,PSVKGB3V,efectivo,pagado
172,DOYJGBUG,transferencia,pagado
173,PGHHGB9T,transferencia,pagado
174,QQXEGBXM,efectivo,pendiente
175,CVQWGBD6,tarjeta,pendiente
176,RPZKGBKP,efectivo,pagado
177,IMFVGBMT,tarjeta,pagado
178,WGABGBMH,tarjeta,pagado
179,SLXLGBLU,efectivo,pagado
180,WJDIGBKO,tarjeta,pagado
181,QNLIGBL6,efectivo,pendiente
182,DKKYGBAQ,tarjeta,pagado
183,OYVJGB2C,transferencia,pagado
184,RCFXGBBL,transferencia,pagado
185,YKITGBTQ,efectivo,pagado
186,NBKHGBZ4,transferencia,pagado
187,VVRNGBVK,transferencia,pagado
188,NZZKGBEM,tarjeta,pagado
189,RTTEGBPY,efectivo,pagado
190,UVSPGBVG,transferencia,pagado
191,BXRTGBW1,transferencia,pagado
192,EEZFGBAE,efectivo,pagado
193,TDKEGBTU,tarjeta,pagado
194,PYXFGB2P,tarjeta,pagado
195,KWOEGBV4,tarjeta,pagado
196,XXLNGBPT,tarjeta,pagado
197,QCEHGBUI,efectivo,pagado
198,YCBBGBV0,transferencia,pagado
199,OXZZGBIO,tarjeta,pagado
200,TTKDGBR3,transferencia,pagado
201,TWXTGBM2,efectivo,pagado
202,PQZKGBDN,transferencia,pagado
203,ZUJAGBJ7,tarjeta,pagado
204,KYGWGBK7,tarjeta,pagado
205,JVEPGB31,tarjeta,pagado
206,UMEUGB3G,transferencia,pendiente
207,RBYRGBLO,tarjeta,pagado
208,RTBXGBVS,tarjeta,pagado
209,HDBHGB7Q,tarjeta,pagado
210,KREXGBGS,efectivo,pagado
211,AIWKGB7U,efectivo,pagado
212,JSKDGBAP,transferencia,pagado
213,ESIGGBAV,tarjeta,pagado
214,SMYJGBYB,transferencia,pagado
215,OOCEGBG4,tarjeta,pagado
216,UXUGGB00,tarjeta,pagado
217,QIDMGB4A,tarjeta,pagado
218,YYTMGBXF,transferencia,pagado
219,BGMHGBMP,tarjeta,pagado
220,JMMYGBDY,tarjeta,pendiente
221,DEYKGBC6,tarjeta,pagado
222,XWLXGBET,efectivo,pagado
223,AUQWGBJR,transferencia,pagado
224,MBIKGBQM,tarjeta,pagado
225,JEQSGB1D,efectivo,pagado
226,DMVHGBU7,transferencia,pagado
227,ATZQGBEC,efectivo,pagado
228,RFTVGBB5,tarjeta,pagado
229,QAZIGB39,transferencia,pagado
230,QTAEGBS8,efectivo,pagado
231,WVHTGB9Y,efectivo,pagado
232,NUWBGBAL,tarjeta,pendiente
233,BFQNGBM8,tarjeta,pagado
234,SGNPGBWV,tarjeta,pagado
235,XCSZGBOU,transferencia,pagado
236,WCTEGBB9,tarjeta,pagado
237,EUIFGBT0,transferencia,pagado
238,QPXFGBMU,efectivo,pagado
239,VLSUGB4H,efectivo,pagado
240,VBETGB11,tarjeta,pagado
241,ZEIZGBAH,tarjeta,pagado
242,XFCBGBZ8,transferencia,pagado
243,QKKFGB84,tarjeta,pagado
244,GWEOGB7F,tarjeta,pagado
245,GBAKGBCC,tarjeta,pendiente
246,YSLFGBL1,tarjeta,pagado
247,DCJDGBUE,transferencia,pagado
248,JETSGB6F,transferencia,pagado
249,RCAEGBQL,efectivo,pagado
250,VGADGBRF,tarjeta,pagado
251,PZZWGBM1,efectivo,pendiente
252,JOTVGBQR,efectivo,pagado
253,APZGGB8J,transferencia,pagado
254,UICIGBRR,efectivo,pagado
255,SHMEGBAN,transferencia,pagado
256,JMHVGBEK,tarjeta,pagado
257,EOSCGBIJ,tarjeta,pagado
258,PXSJGBNL,transferencia,pagado
259,TSPGGB1K,transferencia,pagado
260,LXQKGBRR,efectivo,pagado
261,PYWEGBXY,tarjeta,pendiente
262,EMZEGB1M,efectivo,pagado
263,HEHZGB84,tarjeta,pendiente
264,OWXVGBHL,efectivo,pagado
265,PZYNGBNW,tarjeta,pagado
266,ZZDKGB69,transferencia,pagado
267,MCIPGBAO,efectivo,pagado
268,ARZEGB4X,transferencia,pagado
269,ZTWAGBTI,efectivo,pagado
270,UNDIGBMS,transferencia,pendiente
271,PFXKGBK5,transferencia,pagado
272,CODWGBKB,tarjeta,pagado
273,LHBXGBGP,efectivo,pagado
274,YPWUGBZI,transferencia,pendiente
275,WIBLGBC7,transferencia,pagado
276,AVFHGBOD,efectivo,pagado
277,WFXFGBJP,tarjeta,pagado
278,IBUZGBLC,transferencia,pagado
279,UMRLGBWK,transferencia,pagado
280,AJJFGBZG,efectivo,pagado
281,BCPRGBC5,efectivo,pagado
282,KFBZGBQ2,efectivo,pagado
283,DYIHGB2C,efectivo,pagado
284,QJFBGBF2,efectivo,pagado
285,ETEGGB66,tarjeta,pagado
286,AYZVGBBG,tarjeta,pendiente
287,WSPRGBBW,tarjeta,pagado
288,ARUJGBAN,tarjeta,pagado
289,GQOCGBIC,transferencia,pagado
290,KCPQGBDR,efectivo,pagado
291,QDILGBPE,tarjeta,pagado
292,QPZGGBB2,efectivo,pagado
293,OMTKGBPE,tarjeta,pagado
294,DUAEGBPH,efectivo,pagado
295,QXEDGBMT,tarjeta,pendiente
296,FVPOGBCK,transferencia,pagado
297,QHFLGB16,efectivo,pagado
298,HREMGB1V,efectivo,pagado
299,APMGGBUE,transferencia,pagado
300,IZXUGBOV,transferencia,pagado
301,ONXGGBEG,transferencia,pagado
302,RNUUGB6K,tarjeta,pagado
303,NXHZGB35,efectivo,pagado
304,YMCUGB13,transferencia,pagado
305,JJWFGBLR,tarjeta,pagado
306,ZOBZGBEA,transferencia,pagado
307,OREVGBDB,tarjeta,pagado
308,NVEMGBQA,transferencia,pagado
309,CWRKGBFE,transferencia,pagado
310,PHGGGB3X,transferencia,pagado
311,REPLGBTZ,tarjeta,pagado
312,HVPBGBCD,transferencia,pagado
313,MIFAGBMT,tarjeta,pagado
314,SGKAGB8R,transferencia,pagado
315,AQXLGB6P,tarjeta,pagado
316,AIVYGBPO,tarjeta,pagado
317,KBGKGBUM,efectivo,pagado
318,NPJQGBJF,tarjeta,pagado
319,QWYUGBNS,tarjeta,pagado
320,XNYZGBC8,transferencia,pagado
321,GHUPGBIH,tarjeta,pagado
