,id,marca,color,placa
0,076430002,citroen,Ivory,BXN872
1,118204882,toyota,SandyBrown,JHK840
2,107223450,toyota,Wheat,RFR52D
3,036015069,citroen,GhostWhite,HCF45B
4,118725536,peugeot,LavenderBlush,WEY771
5,105189101,hyundai,MediumBlue,WOQ09R
6,015144061,toyota,CornflowerBlue,UDB14T
7,124496516,kia,LightGray,JRI041
8,109126717,ford,Blue,RFN47O
9,066097905,volvo,Beige,GNG889
10,039289397,peugeot,AliceBlue,R36984
11,036234675,volvo,PowderBlue,R53674
12,090136227,volvo,OliveDrab,UOS897
13,119439892,peugeot,HoneyDew,ZAV02N
14,119197189,nissan,DarkSlateBlue,T6325
15,053102887,peugeot,Beige,JHX004
16,049756234,mercedes,LightSkyBlue,KNA631
17,048701989,peugeot,DarkSlateGray,DQE655
18,108888894,ford,Ivory,EXB82D
19,077149541,bmw,Linen,YTS54E
20,014094387,nissan,DimGray,KXG908
21,043317695,volkswagen,DarkRed,FQQ361
22,053767918,volkswagen,LightSalmon,BOY03P
23,118387974,mercedes,DarkRed,DDP75S
24,064622068,bmw,DarkSlateBlue,UYR634
25,092584246,renault,DarkSalmon,TRL367
26,021299298,bmw,PaleGreen,VWS63T
27,037738840,citroen,MediumVioletRed,JJQ358
28,043188497,volvo,Lavender,XOE142
29,123764485,hyundai,LemonChiffon,PBN180
30,099541813,nissan,Pink,DHB02W
31,116909422,peugeot,DeepPink,HHA892
32,052514955,audi,RoyalBlue,IQZ502
33,021403783,bmw,SlateGray,DCO791
34,044618898,kia,DarkSlateBlue,DGJ23I
35,100039683,renault,PowderBlue,ZDD465
36,027296868,renault,MediumSpringGreen,S09812
37,063466908,renault,SeaGreen,JMH01S
38,109040246,renault,Crimson,PBK295
39,095893976,seat,Peru,NEG79A
40,012050721,kia,AliceBlue,PNX247
41,076838691,hyundai,Chocolate,ZJY761
42,044987228,peugeot,DarkGoldenRod,EC4181
43,081799330,ford,PaleGoldenRod,NII83I
44,086333856,peugeot,PapayaWhip,EIG582
45,111621750,seat,Snow,IQD192
46,066993999,hyundai,Beige,HYS59J
47,080663218,peugeot,FloralWhite,GET670
48,114706041,seat,DarkSlateBlue,VRA88Q
49,064668381,audi,MediumVioletRed,WUA45N
50,074257494,kia,Cornsilk,LCB945
51,080320849,kia,Green,JVQ402
52,067551563,citroen,Indigo,GMX250
53,123749280,peugeot,Chartreuse,HRH085
54,039405236,volvo,Sienna,HHY316
55,084006758,peugeot,FloralWhite,KWJ51J
56,091481353,volkswagen,Navy,QMQ455
57,101929970,peugeot,SlateGray,JER498
58,093646028,ford,LightSeaGreen,DHS31W
59,029977062,bmw,PaleGreen,OPQ09A
60,029165492,citroen,Crimson,QQP133
61,117921551,hyundai,Yellow,RFY224
62,021822843,ford,CornflowerBlue,R15829
63,105082347,ford,FireBrick,MWU044
64,089010257,bmw,Lime,THM441
65,074919512,bmw,DarkOrange,RFV52E
66,100309546,volvo,BurlyWood,T8429
67,096512308,kia,AliceBlue,KEJ148
68,039667469,audi,Red,YIX689
69,067658741,nissan,RoyalBlue,WNY557
70,081174719,toyota,Lime,LRG383
71,075659897,ford,LightSalmon,FFH377
72,055915933,bmw,Gainsboro,EYH607
73,046773773,toyota,SlateGray,T6952
